Date and time,Rainfall (Millimetres),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = AT DAM
03-03-2006 00:00,0,unverified data,PrecTot,
04-03-2006 00:00,0,unverified data,PrecTot,
05-03-2006 00:00,0,unverified data,PrecTot,
06-03-2006 00:00,0,unverified data,PrecTot,
07-03-2006 00:00,0,unverified data,PrecTot,
08-03-2006 00:00,1.6,unverified data,PrecTot,
09-03-2006 00:00,0,unverified data,PrecTot,
10-03-2006 00:00,0,unverified data,PrecTot,
11-03-2006 00:00,0,unverified data,PrecTot,
12-03-2006 00:00,0,unverified data,PrecTot,
13-03-2006 00:00,0,unverified data,PrecTot,
14-03-2006 00:00,3.6,unverified data,PrecTot,
15-03-2006 00:00,0,unverified data,PrecTot,
16-03-2006 00:00,0,unverified data,PrecTot,
17-03-2006 00:00,17.8,unverified data,PrecTot,
18-03-2006 00:00,0,unverified data,PrecTot,
19-03-2006 00:00,0,unverified data,PrecTot,
20-03-2006 00:00,0,unverified data,PrecTot,
21-03-2006 00:00,0,unverified data,PrecTot,
22-03-2006 00:00,0,unverified data,PrecTot,
23-03-2006 00:00,0,unverified data,PrecTot,
24-03-2006 00:00,0,unverified data,PrecTot,
25-03-2006 00:00,0,unverified data,PrecTot,
26-03-2006 00:00,0,unverified data,PrecTot,
27-03-2006 00:00,0.2,unverified data,PrecTot,
28-03-2006 00:00,4.6,unverified data,PrecTot,
29-03-2006 00:00,0,unverified data,PrecTot,
30-03-2006 00:00,0,unverified data,PrecTot,
31-03-2006 00:00,0,unverified data,PrecTot,
