Samples.DateAndTime,Samples.Site,Sites.Name,Samples.Location,Locations.Name,Samples.Sample,Samples.TakenBy,Laboratories.Name,Samples.LabRef,SampleDepths.DepthNo,SampleDepths.DepthTime,SampleDepths.Depth,SampleValues.Param,Params.Name,Params.Units,SampleValues.Val,SampleValues.Qualifier,SampleValues.Quality,Samples.Comments,SampleDepths.Comments,SampleValues.Comments,Params.BioKingdom,Params.BioPhylum,Params.BioClass,Params.BioOrder,Params.BioFamily,Params.BioGenus,Params.BioSpecies,Datasets
'  Disclaimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  Use of the information and data contained within this file is at your sole risk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  The data is acquired and published by automatic processes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  The data is unchecked and may not be accurate current or complete and it may contain errors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  Hydro Tasmania:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      makes no representations - either expressed or implied - as to the accuracy of the information and data contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      makes no representations - either expressed or implied - as to the suitability of the said information and data for any particular purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  Copyright 2024 Hydro Electric Corporation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  No part of this data may be copied to third parties without the,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  specific written consent of Hydro Tasmania.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  Script name = 'exportSampleValues',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  Script version= '233',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  Exported  by = 'ThomsonB',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  User parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'    Site ID = '462',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'    Location ID = 'Null',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'    Param ID = 'Null',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'    Start date = '',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'    End date = '',,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  This data is denormalised (see http://en.wikipedia.org/wiki/Denormalization),,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  from the original relational data store.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  The original data store had the following database table hierarchy which is reflected in the column header names,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'          Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'              Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'                  SampleDepths,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'                      SampleValues,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  SampleValues.Qualifier Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      >  greater than sample value,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      <  less than sample value,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      T  trace detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      E  estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      ?  unreliable value,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  SampleValues.Quality Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      1 to 21     unverified - no specific data issues identified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      22          estimated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      29          from external source,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      30          unverified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      32 & 42     estimated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      31          poor data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      41          important comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      101         unreliable data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      140 & 142   unverified data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      143 to 148  unreliable data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      149         from external source,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'      150 to 255  unreliable or missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples.DateAndTime,Samples.Site,Sites.Name,Samples.Location,Locations.Name,Samples.Sample,Samples.TakenBy,Laboratories.Name,Samples.LabRef,SampleDepths.DepthNo,SampleDepths.DepthTime,SampleDepths.Depth,SampleValues.Param,Params.Name,Params.Units,SampleValues.Val,SampleValues.Qualifier,SampleValues.Quality,Samples.Comments,SampleDepths.Comments,SampleValues.Comments,Params.BioKingdom,Params.BioPhylum,Params.BioClass,Params.BioOrder,Params.BioFamily,Params.BioGenus,Params.BioSpecies,Datasets
