Header,Value
Agency Name,Hydro Tasmania
Agency Code,HT
Program,Arthurs Lake WQ
Project,ALWQ
Tag,HT-ALWQ
Data File Name,WaterLevel.csv
Location,data-lake/HT/Hydrology/Arthurs Lake Spillway (418.1)/
Station Status,Active
Lat,-41.985227
Long,146.992343
Time Zone,GMT +6
Vertical Datum,mAHD
National Station ID,418
Site Description,418
Deployment,Profile
Deployment Position,m from Surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00180
Data Category,Hydrodynamics
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,WaterLevel
QC,NaN
