Variable ID,Variable Name,Units,Symbol,LaTex Units,Programmatic,SH Category,CF Name (http://cfconventions.org/Data/cf-standard-names/current/build/cf-standard-name-table.html),CF Units,CF Conversion,Category,Descriptiion
var00238,Diadchr,mg/m3,,,Diadchr,,N/A,,,Ecology (Planktonic),
var00239,Diadino,mg/m3,,,Diadino,,N/A,,,Ecology (Planktonic),
var00240,Diato,mg/m3,,,Diato,,N/A,,,Ecology (Planktonic),
var00241,Dino,mg/m3,,,Dino,,N/A,,,Ecology (Planktonic),
var00242,DvCphlA+CphlA,mg/m3,,,DvCphlA_CphlA,,N/A,,,Ecology (Planktonic),
var00243,DvCphlA,mg/m3,,,DvCphlA,,N/A,,,Ecology (Planktonic),
var00244,DvCphlB+CphlB,mg/m3,,,DvCphlB_CphlB,,N/A,,,Ecology (Planktonic),
var00245,DvCphlB,mg/m3,,,DvCphlB,,N/A,,,Ecology (Planktonic),
var00246,Echin,mg/m3,,,Echin,,N/A,,,Ecology (Planktonic),
var00247,Fuco,mg/m3,,,Fuco,,N/A,,,Ecology (Planktonic),
var00248,Gyro,mg/m3,,,Gyro,,N/A,,,Ecology (Planktonic),
var00249,Hexfuco,mg/m3,,,Hexfuco,,N/A,,,Ecology (Planktonic),
var00250,Ketohexfuco,mg/m3,,,Ketohexfuco,,N/A,,,Ecology (Planktonic),
var00251,Lut,mg/m3,,,Lut,,N/A,,,Ecology (Planktonic),
var00252,Lyco,mg/m3,,,Lyco,,N/A,,,Ecology (Planktonic),
var00253,MgDvp,mg/m3,,,MgDvp,,N/A,,,Ecology (Planktonic),
var00254,Neo,mg/m3,,,Neo,,N/A,,,Ecology (Planktonic),
var00255,Perid,mg/m3,,,Perid,,N/A,,,Ecology (Planktonic),
var00256,PhideA,mg/m3,,,PhideA,,N/A,,,Ecology (Planktonic),
var00257,PhytinA,mg/m3,,,PhytinA,,N/A,,,Ecology (Planktonic),
var00258,PhytinB,mg/m3,,,PhytinB,,N/A,,,Ecology (Planktonic),
var00259,Pras,mg/m3,,,Pras,,N/A,,,Ecology (Planktonic),
var00260,PyrophideA,mg/m3,,,PyrophideA,,N/A,,,Ecology (Planktonic),
var00261,PyrophytinA,mg/m3,,,PyrophytinA,,N/A,,,Ecology (Planktonic),
var00262,Viola,mg/m3,,,Viola,,N/A,,,Ecology (Planktonic),
var00263,Zea,mg/m3,,,Zea,,N/A,,,Ecology (Planktonic),
var00264,Nitrite,mg/L,,,Nitrite,,N/A,,,Water Quality (Nutrient),
var00265,TSSorganic,mg/L,,,TSSorganic,,N/A,,,Water Quality (Nutrient),
var00266,TSSinorganic,mg/L,,,TSSinorganic,,N/A,,,Water Quality (Nutrient),
var00267,Dissolved Inorganic Carbon,mg/L,DIC,,dissolved_inorganic_carbon,,N/A,,,Water Quality (Nutrient),
var00268,Pressure Head,m,H,,pressure_head,,,,,Hydrodynamics,
var00269,Current Velocity (x component),m/s,V_x,,velocity_x_component_of_current,,,,,Hydrodynamics,
var00270,Current Velocity (y component),m/s,V_y,,velocity_y_component_of_current,,,,,Hydrodynamics,
var00271,Significant Wave Height,m,WVHT,,significant_waveheight,,,,,Hydrodynamics,
var00272,Mean 1/3 Wave Height,m,H_{1/3},,mean_1_3_waveheight,,,,,Hydrodynamics,
var00273,Mean 1/10 Wave Height,m,H_{1/10},,mean_1_10_waveheight,,,,,Hydrodynamics,
var00274,Maximum Wave Height,m,Hmax,,maximum_waveheight,,,,,Hydrodynamics,
var00275,Mean Wave Height,m,Hmean,,mean_wave_height,,,,,Hydrodynamics,
var00276,Mean Wave Period,s,Tmean,,mean_wave_period,,,,,Hydrodynamics,
var00277,Peak Wave Period,s,WVPER,,peak_wave_period,,,,,Hydrodynamics,
var00278,Mean 1/3 Period,s,T_{1/3},,mean_1_3_period,,,,,Hydrodynamics,
var00279,Mean 1/10 Period,s,T_{1/10},,mean_1_10_period,,,,,Hydrodynamics,
var00280,Maximum Wave Period,s,Tmax,,maximum_wave_period,,,,,Hydrodynamics,
var00281,Peak Wave Direction,deg,WVDIR,,peak_wave_direction,,,,,Hydrodynamics,
var00282,Directional Spread,deg,SprTp,,directional_spread,,,,,Hydrodynamics,
var00283,Mean Wave Direction,deg,Mdir,,mean_wave_direction,,,,,Hydrodynamics,
var00284,Current Velocity,m/s,Vmag,,current_velocity,,,,,Hydrodynamics,
var00285,Current Direction,deg,Vdir,,current_direction,,,,,Hydrodynamics,
var00286,Wind Speed (min),m/s,,m/s,min_wind_speed,,,,,Meteorology,
var00287,Wind Direction (std),deg,,^{\circ},wind_direction_std,,,,,Meteorology,
var00288,Station Level Pressure (max),hPa,,hPa,max_station_level_pressure,,,,,Meteorology,
var00289,Station Level Pressure (min),hPa,,hPa,min_station_level_pressure,,,,,Meteorology,
var00290,Station Level Pressure (std),hPa,,hPa,sea_level_pressure_std,,,,,Meteorology,
var00291,Surface Solar Irradiance,W/m^2,W/m^2,W/m^2,solar_raditation,,,,,Meteorology,
var00292,Surface Solar Irradiance (min),W/m^2,W/m^2,W/m^2,min_solar_raditation,,,,,Meteorology,
var00293,Surface Solar Irradiance (max),W/m^2,W/m^2,W/m^2,max_solar_raditation,,,,,Meteorology,
var00294,Surface Solar Irradiance (std),W/m^2,W/m^2,W/m^2,solar_raditation_std,,,,,Meteorology,
var00295,Surface Photosynthetically Active Photon Flux (max),µmol/m2/s,µmol/m2/s,µmol/m2/s,max_PAR,,,,,Light,
var00296,Surface Photosynthetically Active Photon Flux (min),µmol/m2/s,µmol/m2/s,µmol/m2/s,min_PAR,,,,,Light,
var00297,Surface Photosynthetically Active Photon Flux (std),µmol/m2/s,µmol/m2/s,µmol/m2/s,PAR_STD,,,,,Light,
var00298,Daily Surface Photosynthetically Active Photon Flux,µmol/m2/day,,µmol/m2/day,daily_surface_photon_flux,,surface_downwelling_photosynthetic_radiative_flux_in_air,W m-2,,Light,
var00299,Daily Solar Irradiance,MJ/day,,MJ/day,daily_solar_irradiance,,,,,Meteorology,
var00300,Spectral Radiative Flux (WL - 398µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_398,,,,,Light,
var00301,Spectral Radiative Flux (WL - 448µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_399,,,,,Light,
var00302,Spectral Radiative Flux (WL - 470µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_400,,,,,Light,
var00303,Spectral Radiative Flux (WL - 524µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_401,,,,,Light,
var00304,Spectral Radiative Flux (WL - 554µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_402,,,,,Light,
var00305,Spectral Radiative Flux (WL - 590µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_403,,,,,Light,
var00306,Spectral Radiative Flux (WL - 628µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_404,,,,,Light,
var00307,Spectral Radiative Flux (WL - 656µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_405,,,,,Light,
var00308,Spectral Radiative Flux (WL - 699µW),µW/cm2/nm,,µW/cm2/nm,spectral_radiative_flux_wl_406,,,,,Light,
var00309,Spectral Photon Flux (WL - 398µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_398,,,,,Light,
var00310,Spectral Photon Flux (WL - 448µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_448,,,,,Light,
var00311,Spectral Photon Flux (WL - 470µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_470,,,,,Light,
var00312,Spectral Photon Flux (WL - 524µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_524,,,,,Light,
var00313,Spectral Photon Flux (WL - 554µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_554,,,,,Light,
var00314,Spectral Photon Flux (WL - 590µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_590,,,,,Light,
var00315,Spectral Photon Flux (WL - 628µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_628,,,,,Light,
var00316,Spectral Photon Flux (WL - 656µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_656,,,,,Light,
var00317,Spectral Photon Flux (WL - 699µmol),µmol/m2/s,,µmol/m2/s,spectral_photon_flux_wl_699,,,,,Light,
var00318,Daily Photosynthetically Active Photon Flux,µmol/m2/day,,µmol/m2/day,daily_photon_flux,,,,,Light,
var00320,Fluorescence,V,,V,fluorescence,,,,,Water Quality (PhysChm),
var00321,Logger Temperature,C,T_{logger},C,logger_temperature,,,,,Misc,
var00322,Photosynthetically Active Photon Flux,µmol/m2/s,,µmol/m^2/s,photosynthetically_active_photon_flux,,,,,Light,
var00323,Surface Photosynthetically Active Photon Flux,µmol/m2/s,,µmol/m^2/s,surface_photosynthetically_active_photon_flux,,,,,Light,
var00324,Posidonia Sinuosa Count,counts,,,posidonia_sinuosa_count,,,,,Ecology (Benthic),
var00325,Posidonia Sinuosa Density,counts/m2,,,posidonia_sinuosa_density,,,,,Ecology (Benthic),
var00326,Posidonia Sinuosa Above Ground Biomass,mmol C/m2,,µmol c/m^2,posidonia_sinuosa_above_ground_biomass,,,,,Ecology (Benthic),
var00327,Posidonia Sinuosa Below Ground Biomass,mmol C/m2,,µmol c/m^2,posidonia_sinuosa_below_ground_biomass,,,,,Ecology (Benthic),
var00328,Phaeophytin-a,µg/l,µg/l,\mug/L,phaeophytin_a,,N/A,,,Water Quality (Nutrient),
var00329,Copper,mg/L,mg/L,mg/L,copper,,N/A,,,Water Quality (Contaminants),
var00330,Lead,mg/L,mg/L,mg/L,lead,,N/A,,,Water Quality (Contaminants),
var00331,Nickel,mg/L,mg/L,mg/L,nickel,,N/A,,,Water Quality (Contaminants),
var00332,Silver,mg/L,mg/L,mg/L,silver,,N/A,,,Water Quality (Contaminants),
var00333,Zinc,mg/L,mg/L,mg/L,zinc,,N/A,,,Water Quality (Contaminants),
var00334,Filtered Copper,μg/L,μg/L,\mug/L,filtered copper,,N/A,,,Water Quality (Contaminants),
var00335,Benzene,μg/L,μg/L,\mug/L,benzene,,N/A,,,Water Quality (Contaminants),
var00336,Toluene,μg/L,μg/L,\mug/L,toluene,,N/A,,,Water Quality (Contaminants),
var00337,Ethylbenzene,μg/L,μg/L,\mug/L,ethylbenzene,,N/A,,,Water Quality (Contaminants),
var00338,Xylene,μg/L,μg/L,\mug/L,xylene,,N/A,,,Water Quality (Contaminants),
var00339,"m,p-Xylene",μg/L,μg/L,\mug/L,m_p_xylene,,N/A,,,Water Quality (Contaminants),
var00340,Total BTEX,μg/L,μg/L,\mug/L,total btex,,N/A,,,Water Quality (Contaminants),
var00341,TPH C6 - C9,μg/L,μg/L,\mug/L,tph_c6_c9,,N/A,,,Water Quality (Contaminants),
var00342,TPH C10 - C14,μg/L,μg/L,\mug/L,tph_c10_c14,,N/A,,,Water Quality (Contaminants),
var00343,TPH C15 - C28,μg/L,μg/L,\mug/L,tph_c15_c28,,N/A,,,Water Quality (Contaminants),
var00344,TPH C29 - C36,μg/L,μg/L,\mug/L,tph_c29_c36,,N/A,,,Water Quality (Contaminants),
var00345,Total TPH,μg/L,μg/L,\mug/L,total_tph,,N/A,,,Water Quality (Contaminants),
var00346,TRH C6-C10,μg/L,μg/L,\mug/L,trh_c6_c10,,N/A,,,Water Quality (Contaminants),
var00347,TRH gtC10-C16,μg/L,μg/L,\mug/L,trh_gtc10_c16,,N/A,,,Water Quality (Contaminants),
var00348,TRH gtC16-C34,μg/L,μg/L,\mug/L,trh_gtc16_c34,,N/A,,,Water Quality (Contaminants),
var00349,TRH gtC34-C40,μg/L,μg/L,\mug/L,trh_gtc34_c40,,N/A,,,Water Quality (Contaminants),
var00350,Total TRHs,μg/L,μg/L,\mug/L,total_trhs,,N/A,,,Water Quality (Contaminants),
var00351,Posidonia Sinuosa Total Biomass,mmol C/m2,,µmol c/m^2,posidonia_sinuosa_total_biomass,,N/A,,,Ecology (Benthic),
var00352,Posidonia Sinuosa Dry Weight,g,g,g,posidonia_sinuosa_dry_weight,,N/A,,,Ecology (Benthic),
var00353,Picoplankton Fraction,%,%,%,picop_brewin2012in,,N/A,,,Ecology (Planktonic),
var00354,Part. sz (W'worth) - Clay <4um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00355,Part. sz (W'worth) - Silt v fine silt >4 - <8um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00356,Part. sz (W''worth) - Silt fine silt >8 - <16um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00357,Part. sz (W''worth) - Silt medium >16 - <31um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00358,Part. sz (W''worth) - Silt coarse >31 - <63um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00359,Part. sz (W''worth) - Silt  >4 - <63um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00360,Part. sz (W'worth) - Sand v fine >63 - <=125um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00361,Part. sz (W'worth) - Sand fine >125 - <=250um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00362,Part. sz (W'worth) - Sand med >250 - <=500um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00363,Part. sz (W'worth) - Sand coarse >500um-<=1mm (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00364,Part. sz (W'worth) - Sand v coarse >1 - <=2mm (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00365,Part. sz (W''worth) - Sand >63 - <2000um (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00366,Part. sz (W'worth) - Gravel >2mm (%),%,%,%,,,N/A,,,Water Quality (Contaminants),
var00369,longwave radiation,W/m^2,W/m^2,W/m^2,,,,,,Meteorology,
var00372,Specific humidity at 2m height,%,%,%,,,,,,Meteorology,
var00373,Sensible heat flux,W/m^2,W/m^2,W/m^2,,,,,,Meteorology,
var00374,Latent heat flux ,W/m^2,W/m^2,W/m^2,,,,,,Meteorology,
var00375,sea surface temperature,C,C,C,,,,,,Meteorology,
var00377,eastern wind speed at 10 m height,m s-1,m s-1,m s-1,,,,,,Meteorology,
var00378,northern wind speed at 10 m height,m s-1,m s-1,m s-1,,,,,,Meteorology,
var00381,maximum cloud cover,%,%,COMEBACK TO,COMEBACK TO,COMEBACK TO,COMEBACK TO,COMEBACK TO,,Meteorology,COMEBACK TO
var00382,RAINV,,,,,,,,,Meteorology,
var00383,Precipitation Rate,m/s,,m/s,precipitation_rate,MET_RAIN,rainfall_rate,m s-1,,Meteorology,
var00384,Air Pressure,Pa,Pa,Pa,air_pressure,,,,,Meteorology,
var00385,mslp,,,,,,,,,Meteorology,
var00386,lwsfcdown,,,,,,,,,Meteorology,
var00387,temp_scrn,,,,,,,,,Meteorology,
var00388,NTUe,,,,,,,,,Water Quality (Contaminants),
var00389,SSC_mg.l,,,,,,,,,Water Quality (Contaminants),
var00390,light_shift,,,,,,,,,Water Quality (Contaminants),
var00391,Dep_mg.cm2,,,,,,,,,Water Quality (Contaminants),
var00393,RMS,,,,,,,,,Water Quality (Contaminants),
var00395,Deprate_mg.cm2day,,,,,,,,,Water Quality (Contaminants),
var00396,Depratemean_mg.cm2day,,,,,,,,,Water Quality (Contaminants),
var00600,Chlorophyll-a (mg per filter),mg per filter,mg per filter,mg per filter,,,N/A,,,Water Quality (Nutrient),
var00601,Chlorophyll-a (Phaeophytin corrected),ug/l,ug/l,ug/l,,,N/A,,,Water Quality (Nutrient),
var00602,Ammonium (lab total - DONT USE),mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00603,Nitrate (lab total - DONT USE),mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00604,Wind Speed Estimate,Beaufort,Beaufort,Beaufort,,,N/A,,,Meteorology,
var00605,Nitrite (lab total - DONT USE),mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00606,Total Nitrogen Persulphate Oxid (DONT USE),mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00607,(Cylindrospermopsis raciborskii),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00608,Total Aluminium,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00609,Bacillariophyta (Achnanthes sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00610,Bacillariophyta (Asterionella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00611,Bacillariophyta (Aulacoseira sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00612,Bacillariophyta (Cyclotella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00613,Bacillariophyta (Cymbella hauckii),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00614,Bacillariophyta (Diatoma sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00615,Bacillariophyta (Fragilaria sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00616,Bacillariophyta (Gomphonema sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00617,Bacillariophyta (Navicula sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00618,Bacillariophyta (Nitzschia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00619,Bacillariophyta (Synedra sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00620,Bacillariophyta (Ulnaria sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00621,Bacillariophyta (Urosolenia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00622,Bacillariophyta Unid Diatom-Bacillariale,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00623,Bicarbonate Alkalinity as CaCO3,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (PhysChm),
var00624,Bromide,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00625,Total Cadmium,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00626,Charophyta (Cosmocladium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00627,Charophyta (Elakatothrix sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00628,Charophyta (Euastrum sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00629,Charophyta (Eudorina sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00630,Charophyta (Mesotaenium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00631,Charophyta (Onychonema sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00632,Charophyta (Spondylosium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00633,Charophyta (Teilingia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00634,Charophyta (Zygnema sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00635,Chloride,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00636,Chlorophyta (Ankistrodesmus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00637,Chlorophyta (Ankyra sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00638,Chlorophyta (Botryococcus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00639,Chlorophyta (Chlamydomonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00640,Chlorophyta (Chlorogonium spp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00641,Chlorophyta (Chodatella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00642,Chlorophyta (Closteriopsis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00643,Chlorophyta (Closterium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00644,Chlorophyta (Coelastrum sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00645,Chlorophyta (Comasiella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00646,Chlorophyta (Cosmarium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00647,Chlorophyta (Crucigenia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00648,Chlorophyta (Crucigeniella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00649,Chlorophyta (Desmodesmus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00650,Chlorophyta (Dictyosphaerium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00651,Chlorophyta (Gloeocystis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00652,Chlorophyta (Golenkinia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00653,Chlorophyta (Golenkiniopsis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00654,Chlorophyta (Gonium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00655,Chlorophyta (Kirchneriella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00656,Chlorophyta (Lagerheimia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00657,Chlorophyta (Micractinium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00658,Chlorophyta (Microspora sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00659,Chlorophyta (Monoraphidium sp.),cells /ml,cells /ml,cells /ml,,,N/A,,,Ecology (Planktonic),
var00660,Chlorophyta (Mougeotia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00661,Chlorophyta (Nephrocytium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00662,Chlorophyta (Oocystis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00663,Chlorophyta (Pandorina sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00664,Chlorophyta (Paulschulzia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00665,Chlorophyta (Pediastrum sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00666,Chlorophyta (Planktosphaeria),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00667,Chlorophyta (Pyramimonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00668,Chlorophyta (Quadrigula sp.),Cells/mL,Cells/mL,Cells/mL,,,N/A,,,Ecology (Planktonic),
var00669,Chlorophyta (Scenedesmus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00670,Chlorophyta (Sphaerellopsis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00671,Chlorophyta (Sphaerocystis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00672,Chlorophyta (Sphaerozosma vertebratum),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00673,Chlorophyta (Staurastrum sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00674,Chlorophyta (Staurodesmus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00675,Chlorophyta (Tetraedron sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00676,Chlorophyta (Ulothrix sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00677,Chlorophyta (Volvox sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00678,Chromista (Unidentified dinoflagellate),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00679,Total Chromium,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00680,Chrysophyta (Dinobryon sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00681,Chrysophyta (Globulifera),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00682,Chrysophyta (Mallomonas akrokomos),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00683,Chrysophyta (Mallomonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00684,Chrysophyta (Synura sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00685,Total Cobalt (mg per l),mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00686,Cryptophyta (Chroomonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00687,Cryptophyta (Cryptomonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00688,Cryptophyta (Unidentified Cryptomonad),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00689,Cyanobacteria (Anabaena bergii),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00690,Cyanobacteria (Anabaena sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00691,Cyanobacteria (Anabaenopsis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00692,Cyanobacteria (Anathece sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00693,Cyanobacteria (Aphanocapsa sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00694,Cyanobacteria (Aphanothece sp. 1),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00695,Cyanobacteria (Aphanothece sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00696,Cyanobacteria (Borzia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00697,Cyanobacteria (Chroococcus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00698,Cyanobacteria (Cyanodictyon sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00699,Cyanobacteria (Dolichospermum sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00700,Cyanobacteria (Geitlerinema sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00701,Cyanobacteria (Gloeocapsa sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00702,Cyanobacteria (Gloeothece sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00703,Cyanobacteria (Merismopedia sp.,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00704,Cyanobacteria (Microcystis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
