Variable ID,Variable Name,Units,Symbol,LaTex Units,Programmatic,SH Category,CF Name (http://cfconventions.org/Data/cf-standard-names/current/build/cf-standard-name-table.html),CF Units,CF Conversion,Category,Descriptiion
var00001,E coli,cfu/100mL,C_{ecoli},cfu/100mL,e_coli,,N/A,,,Water Quality (Contaminants),
var00002,Enterococci,cfu/100mL,C_{entercocci},cfu/100mL,enterococci,,N/A,,,Water Quality (Contaminants),
var00003,TN:TP,mg N / mg P,TN:TP,mg N / mg P,tn_tp_ratio,,N/A,,,Water Quality (Nutrient),
var00004,Organic Nitrogen,mg/L,ON,mg/L,organic_nitrogen,,N/A,,,Water Quality (Nutrient),
var00005,Organic Phosphorus,mg/L,OP,mg/L,organic_phosphorus,,N/A,,,Water Quality (Nutrient),
var00006,Salinity,psu,S,psu,salinity,WTR_SALINITY,sea_water_salinity,g kg-1,1,Water Quality (PhysChm),
var00007,Temperature,C,T,^{\circ}C,temperature,WTR_TEMP,sea_water_temperature,K,-273.15,Water Quality (PhysChm),
var00008,Depth,m,D,m,depth,WTR_DEPTH,N/A,,,Hydrodynamics,
var00009,Total Nitrogen,mg/L,TN,mg/L,total_nitrogen,NUT_NITROGEN_TOTAL,N/A,,,Water Quality (Nutrient),
var00010,Total Phosphorus,mg/L,TP,mg/L,total_phosphorus,NUT_PHOSPHORUS_TOTAL,N/A,,,Water Quality (Nutrient),
var00011,Total Organic Carbon,mg/L,TOC,mg/L,total_organic_carbon,,N/A,,,Water Quality (Nutrient),
var00012,Total Suspended Solids,mg/L,TSS,mg/L,total_suspended_solids,NUT_SEDIMENT_SUSPENDED,N/A,,,Water Quality (Nutrient),
var00013,Turbidity,NTU,C_T,NTU,turbidity,,sea_water_turbidity,NTU,1,Water Quality (Light),
var00014,Chlorophyll-a,µg/l,Chl-a,\mug/L,tchl_a,BIO_CHLOROPHYLL_TOTAL,N/A,,,Water Quality (Nutrient),
var00016,Suspended Solids #1,mg/L,SS_1,mg/L,suspended_solids_1,,N/A,,,Water Quality (Nutrient),
var00017,Sediment Mass #1,g/m^2,SS_1_{SED},g/m^2,sediment_mass_1,,N/A,,,Sediment,
var00018,Suspended Solids #2,mg/L,SS_2,mg/L,suspended_solids_2,,N/A,,,Water Quality (Nutrient),
var00019,Sediment Mass #2,g/m^2,SS_2_{SED},g/m^2,sediment_mass_2,,N/A,,,Sediment,
